ExpName,N,M,NUM_THREADS,TBB_TIME,OMP_TIME
./ExpGlobalBal,60145,30145,0, 17.0862,17.0862
./ExpGlobalBal,60145,30145,1, 21.7782,23.0739
./ExpGlobalBal,60145,30145,2, 10.9628,13.3447
./ExpGlobalBal,60145,30145,3, 8.46741,9.12441
./ExpGlobalBal,60145,30145,4, 6.42989,7.53438
./ExpGlobalBal,60145,30145,5, 5.10521,5.95334
./ExpGlobalBal,60145,30145,6, 4.35099,5.21623
./ExpGlobalBal,60145,30145,7, 3.69159,4.55689
./ExpGlobalBal,60145,30145,8, 3.35251,3.96964
./ExpGlobalBal,60145,30145,9, 2.93497,3.43449
./ExpGlobalBal,60145,30145,10, 2.73762,3.02336
./ExpGlobalBal,60145,30145,11, 2.41687,3.00426
./ExpGlobalBal,60145,30145,12, 2.27651,2.74237
./ExpGlobalBal,60145,30145,13, 2.14433,2.6226
./ExpGlobalBal,60145,30145,14, 2.03706,2.34173
./ExpGlobalBal,60145,30145,15, 1.89376,2.22647
./ExpGlobalBal,60145,30145,16, 1.80973,2.18591
./ExpGlobalBal,30145,60145,0, 15.8229,15.8229
./ExpGlobalBal,30145,60145,1, 21.6312,23.0753
./ExpGlobalBal,30145,60145,2, 11.9533,13.8322
./ExpGlobalBal,30145,60145,3, 8.25138,9.59468
./ExpGlobalBal,30145,60145,4, 6.58602,7.65648
./ExpGlobalBal,30145,60145,5, 5.23719,5.99601
./ExpGlobalBal,30145,60145,6, 4.34777,5.11644
./ExpGlobalBal,30145,60145,7, 3.76621,4.52244
./ExpGlobalBal,30145,60145,8, 3.38767,4.1062
./ExpGlobalBal,30145,60145,9, 2.99041,3.46151
./ExpGlobalBal,30145,60145,10, 2.72552,3.29779
./ExpGlobalBal,30145,60145,11, 2.52867,2.99031
./ExpGlobalBal,30145,60145,12, 2.27709,2.71436
./ExpGlobalBal,30145,60145,13, 2.1556,2.51698
./ExpGlobalBal,30145,60145,14, 1.99841,2.41999
./ExpGlobalBal,30145,60145,15, 1.87599,2.22679
./ExpGlobalBal,30145,60145,16, 1.77185,2.25479
./ExpGlobalBal,30145,30145,0, 8.28312,8.28312
./ExpGlobalBal,30145,30145,1, 11.332,11.9239
./ExpGlobalBal,30145,30145,2, 5.62078,6.69386
./ExpGlobalBal,30145,30145,3, 4.11858,4.93229
./ExpGlobalBal,30145,30145,4, 3.17211,3.75736
./ExpGlobalBal,30145,30145,5, 2.58381,3.23403
./ExpGlobalBal,30145,30145,6, 2.0864,2.59264
./ExpGlobalBal,30145,30145,7, 1.90728,2.36736
./ExpGlobalBal,30145,30145,8, 1.64158,1.97291
./ExpGlobalBal,30145,30145,9, 1.49747,1.78063
./ExpGlobalBal,30145,30145,10, 1.31505,1.73025
./ExpGlobalBal,30145,30145,11, 1.23748,1.50451
./ExpGlobalBal,30145,30145,12, 1.1675,1.47726
./ExpGlobalBal,30145,30145,13, 1.08688,1.329
./ExpGlobalBal,30145,30145,14, 0.994478,1.12173
./ExpGlobalBal,30145,30145,15, 0.952905,1.10724
./ExpGlobalBal,30145,30145,16, 0.915541,1.10416
./ExpGlobalBal,240145,30145,0, 66.4787,66.4787
./ExpGlobalBal,240145,30145,1, 91.0788,98.1759
./ExpGlobalBal,240145,30145,2, 46.2639,51.0421
./ExpGlobalBal,240145,30145,3, 31.3735,35.7131
./ExpGlobalBal,240145,30145,4, 24.7248,27.6017
./ExpGlobalBal,240145,30145,5, 19.6947,22.5324
./ExpGlobalBal,240145,30145,6, 16.565,18.9373
./ExpGlobalBal,240145,30145,7, 14.8511,16.9303
./ExpGlobalBal,240145,30145,8, 13.2198,14.5779
./ExpGlobalBal,240145,30145,9, 11.8678,13.8508
./ExpGlobalBal,240145,30145,10, 10.7757,12.5131
./ExpGlobalBal,240145,30145,11, 9.81956,11.2859
./ExpGlobalBal,240145,30145,12, 8.99229,10.4036
./ExpGlobalBal,240145,30145,13, 8.48222,9.60992
./ExpGlobalBal,240145,30145,14, 7.92011,9.10609
./ExpGlobalBal,240145,30145,15, 7.55909,8.66592
./ExpGlobalBal,240145,30145,16, 7.21255,8.33774
./ExpGlobalBal,60145,30145,0, 16.6697,16.6697
./ExpGlobalBal,60145,30145,1, 22.6847,24.3911
./ExpGlobalBal,60145,30145,2, 11.2891,12.6832
./ExpGlobalBal,60145,30145,3, 8.14224,9.16541
./ExpGlobalBal,60145,30145,4, 6.13491,7.18525
./ExpGlobalBal,60145,30145,5, 5.02676,5.7496
./ExpGlobalBal,60145,30145,6, 4.13669,4.98207
./ExpGlobalBal,60145,30145,7, 3.64404,4.43519
./ExpGlobalBal,60145,30145,8, 3.27498,3.70504
./ExpGlobalBal,60145,30145,9, 2.92221,3.6124
./ExpGlobalBal,60145,30145,10, 2.72491,3.19112
./ExpGlobalBal,60145,30145,11, 2.49305,2.98256
./ExpGlobalBal,60145,30145,12, 2.29406,2.6954
./ExpGlobalBal,60145,30145,13, 2.09847,2.60299
./ExpGlobalBal,60145,30145,14, 1.95773,2.3313
./ExpGlobalBal,60145,30145,15, 1.93836,2.22631
./ExpGlobalBal,60145,30145,16, 1.80945,2.09323
./ExpGlobalBal,30145,60145,0, 16.8238,16.8238
./ExpGlobalBal,30145,60145,1, 22.7332,24.2848
./ExpGlobalBal,30145,60145,2, 11.2876,12.6043
./ExpGlobalBal,30145,60145,3, 8.14272,9.12239
./ExpGlobalBal,30145,60145,4, 6.03784,6.91864
./ExpGlobalBal,30145,60145,5, 5.13846,5.96058
./ExpGlobalBal,30145,60145,6, 4.2759,4.81269
./ExpGlobalBal,30145,60145,7, 3.69954,4.43869
./ExpGlobalBal,30145,60145,8, 3.36387,3.74915
./ExpGlobalBal,30145,60145,9, 2.88226,3.4222
./ExpGlobalBal,30145,60145,10, 2.67844,2.98518
./ExpGlobalBal,30145,60145,11, 2.41964,2.88609
./ExpGlobalBal,30145,60145,12, 2.30257,2.6957
./ExpGlobalBal,30145,60145,13, 2.12605,2.62257
./ExpGlobalBal,30145,60145,14, 2.02403,2.34816
./ExpGlobalBal,30145,60145,15, 1.94422,2.12165
./ExpGlobalBal,30145,60145,16, 1.83172,2.20847
./ExpGlobalBal,30145,30145,0, 7.88572,7.88572
./ExpGlobalBal,30145,30145,1, 10.7677,11.7199
./ExpGlobalBal,30145,30145,2, 5.64041,6.65433
./ExpGlobalBal,30145,30145,3, 4.16667,4.87055
./ExpGlobalBal,30145,30145,4, 2.95644,3.38315
./ExpGlobalBal,30145,30145,5, 2.50816,3.04631
./ExpGlobalBal,30145,30145,6, 2.12872,2.37366
./ExpGlobalBal,30145,30145,7, 1.82508,2.24285
./ExpGlobalBal,30145,30145,8, 1.65885,2.00525
./ExpGlobalBal,30145,30145,9, 1.52625,1.85095
./ExpGlobalBal,30145,30145,10, 1.3079,1.48922
./ExpGlobalBal,30145,30145,11, 1.23797,1.5302
./ExpGlobalBal,30145,30145,12, 1.1224,1.3126
./ExpGlobalBal,30145,30145,13, 1.10205,1.34164
./ExpGlobalBal,30145,30145,14, 1.0031,1.17238
./ExpGlobalBal,30145,30145,15, 0.948056,1.17261
./ExpGlobalBal,30145,30145,16, 0.892628,1.07186
./ExpGlobalBal,240145,30145,0, 66.8407,66.8407
./ExpGlobalBal,240145,30145,1, 92.3137,98.5512
./ExpGlobalBal,240145,30145,2, 45.0053,51.3328
./ExpGlobalBal,240145,30145,3, 31.8877,36.0239
./ExpGlobalBal,240145,30145,4, 24.8091,27.6995
./ExpGlobalBal,240145,30145,5, 19.7207,22.2285
./ExpGlobalBal,240145,30145,6, 16.7591,20.212
./ExpGlobalBal,240145,30145,7, 14.8252,17.04
./ExpGlobalBal,240145,30145,8, 13.397,15.4643
./ExpGlobalBal,240145,30145,9, 12.0194,13.6871
./ExpGlobalBal,240145,30145,10, 10.7968,12.755
./ExpGlobalBal,240145,30145,11, 9.92712,11.4278
./ExpGlobalBal,240145,30145,12, 9.25364,10.5948
./ExpGlobalBal,240145,30145,13, 8.57371,9.74316
./ExpGlobalBal,240145,30145,14, 7.96266,9.01604
./ExpGlobalBal,240145,30145,15, 7.56846,8.627
./ExpGlobalBal,240145,30145,16, 7.16877,8.37867
./ExpGlobalBal,60145,30145,0, 16.7725,16.7725
./ExpGlobalBal,60145,30145,1, 22.7848,24.5654
./ExpGlobalBal,60145,30145,2, 11.6102,12.7069
./ExpGlobalBal,60145,30145,3, 7.87753,8.58565
./ExpGlobalBal,60145,30145,4, 6.12043,6.90812
./ExpGlobalBal,60145,30145,5, 4.94385,5.48485
./ExpGlobalBal,60145,30145,6, 4.20183,4.62616
./ExpGlobalBal,60145,30145,7, 3.62823,4.1653
./ExpGlobalBal,60145,30145,8, 3.30205,3.74324
./ExpGlobalBal,60145,30145,9, 2.90198,3.45148
./ExpGlobalBal,60145,30145,10, 2.62582,3.18325
./ExpGlobalBal,60145,30145,11, 2.42276,2.87865
./ExpGlobalBal,60145,30145,12, 2.27591,2.69139
./ExpGlobalBal,60145,30145,13, 2.11461,2.54068
./ExpGlobalBal,60145,30145,14, 2.00502,2.19031
./ExpGlobalBal,60145,30145,15, 1.89218,2.19291
./ExpGlobalBal,60145,30145,16, 1.82638,2.1706
./ExpGlobalBal,30145,60145,0, 16.6284,16.6284
./ExpGlobalBal,30145,60145,1, 22.4232,24.3474
./ExpGlobalBal,30145,60145,2, 11.5316,13.5583
./ExpGlobalBal,30145,60145,3, 7.9506,9.91855
./ExpGlobalBal,30145,60145,4, 6.02089,7.63412
./ExpGlobalBal,30145,60145,5, 4.9349,6.2508
./ExpGlobalBal,30145,60145,6, 4.2385,5.28595
./ExpGlobalBal,30145,60145,7, 3.68661,4.67825
./ExpGlobalBal,30145,60145,8, 3.27794,4.08866
./ExpGlobalBal,30145,60145,9, 2.97299,3.74522
./ExpGlobalBal,30145,60145,10, 2.69053,3.30443
./ExpGlobalBal,30145,60145,11, 2.4755,3.12623
./ExpGlobalBal,30145,60145,12, 2.29218,2.92462
./ExpGlobalBal,30145,60145,13, 2.1112,2.6645
./ExpGlobalBal,30145,60145,14, 2.03377,2.53947
./ExpGlobalBal,30145,60145,15, 1.89849,2.35863
./ExpGlobalBal,30145,60145,16, 1.81074,2.22484
./ExpGlobalBal,30145,30145,0, 7.8776,7.8776
./ExpGlobalBal,30145,30145,1, 10.8284,11.5538
./ExpGlobalBal,30145,30145,2, 5.60643,6.68014
./ExpGlobalBal,30145,30145,3, 4.01981,4.77785
./ExpGlobalBal,30145,30145,4, 3.04337,3.41602
./ExpGlobalBal,30145,30145,5, 2.50372,2.93668
./ExpGlobalBal,30145,30145,6, 2.10952,2.57909
./ExpGlobalBal,30145,30145,7, 1.88092,2.28678
./ExpGlobalBal,30145,30145,8, 1.60858,1.90958
./ExpGlobalBal,30145,30145,9, 1.47386,1.82973
./ExpGlobalBal,30145,30145,10, 1.32416,1.57156
./ExpGlobalBal,30145,30145,11, 1.24536,1.51051
./ExpGlobalBal,30145,30145,12, 1.10534,1.24379
./ExpGlobalBal,30145,30145,13, 1.062,1.28926
./ExpGlobalBal,30145,30145,14, 0.989313,1.10956
./ExpGlobalBal,30145,30145,15, 0.944206,1.15788
./ExpGlobalBal,30145,30145,16, 0.90913,1.15108
./ExpGlobalBal,240145,30145,0, 63.042,63.042
./ExpGlobalBal,240145,30145,1, 86.6267,93.1886
./ExpGlobalBal,240145,30145,2, 49.3852,56.5805
./ExpGlobalBal,240145,30145,3, 32.1352,35.5781
./ExpGlobalBal,240145,30145,4, 25.4452,28.6859
./ExpGlobalBal,240145,30145,5, 20.6791,22.0972
./ExpGlobalBal,240145,30145,6, 17.1519,20.5066
./ExpGlobalBal,240145,30145,7, 14.9595,17.0637
./ExpGlobalBal,240145,30145,8, 13.3236,15.4829
./ExpGlobalBal,240145,30145,9, 11.875,13.8657
./ExpGlobalBal,240145,30145,10, 10.8023,12.613
./ExpGlobalBal,240145,30145,11, 9.8991,11.3362
./ExpGlobalBal,240145,30145,12, 9.0956,10.7591
./ExpGlobalBal,240145,30145,13, 8.52275,9.84337
./ExpGlobalBal,240145,30145,14, 7.93932,9.10026
./ExpGlobalBal,240145,30145,15, 7.57566,8.74808
./ExpGlobalBal,240145,30145,16, 7.25957,8.49644
./ExpGlobalBal,60145,30145,0, 15.7297,15.7297
./ExpGlobalBal,60145,30145,1, 21.7652,23.1201
./ExpGlobalBal,60145,30145,2, 12.0988,13.8954
./ExpGlobalBal,60145,30145,3, 8.42563,9.14789
./ExpGlobalBal,60145,30145,4, 6.33942,7.3125
./ExpGlobalBal,60145,30145,5, 5.07151,5.87152
./ExpGlobalBal,60145,30145,6, 4.44475,4.86472
./ExpGlobalBal,60145,30145,7, 3.75836,4.26603
./ExpGlobalBal,60145,30145,8, 3.28451,3.91858
./ExpGlobalBal,60145,30145,9, 2.95156,3.52515
./ExpGlobalBal,60145,30145,10, 2.7246,3.27659
./ExpGlobalBal,60145,30145,11, 2.55567,2.99034
./ExpGlobalBal,60145,30145,12, 2.25223,2.63365
./ExpGlobalBal,60145,30145,13, 2.17047,2.53796
