ExpName,N,N2,NUM_THREADS,TBB_TIME,OMP_TIME
./ExpMode,50145,50145,0, 6.27426,6.27426
./ExpMode,50145,50145,1, 6.41958,6.37932
./ExpMode,50145,50145,2, 3.31097,3.26672
./ExpMode,50145,50145,3, 2.37105,2.77173
./ExpMode,50145,50145,4, 1.91173,2.0045
./ExpMode,50145,50145,5, 1.55971,1.76288
./ExpMode,50145,50145,6, 1.29888,1.28234
./ExpMode,50145,50145,7, 1.10065,1.28736
./ExpMode,50145,50145,8, 0.989435,1.11892
./ExpMode,50145,50145,9, 0.860986,1.01219
./ExpMode,50145,50145,10, 0.778229,0.953392
./ExpMode,50145,50145,11, 0.740352,0.826428
./ExpMode,50145,50145,12, 0.687857,0.813632
./ExpMode,50145,50145,13, 0.630178,0.729767
./ExpMode,50145,50145,14, 0.580425,0.633033
./ExpMode,50145,50145,15, 0.548529,0.642498
./ExpMode,50145,50145,16, 0.518414,0.514998
./ExpMode,40145,40145,0, 4.07674,4.07674
./ExpMode,40145,40145,1, 4.1149,4.12734
./ExpMode,40145,40145,2, 2.32624,2.5811
./ExpMode,40145,40145,3, 1.64799,1.78354
./ExpMode,40145,40145,4, 1.08688,1.31445
./ExpMode,40145,40145,5, 0.968525,1.08014
./ExpMode,40145,40145,6, 0.782516,0.985303
./ExpMode,40145,40145,7, 0.697425,0.852741
./ExpMode,40145,40145,8, 0.627769,0.738976
./ExpMode,40145,40145,9, 0.562658,0.667296
./ExpMode,40145,40145,10, 0.520975,0.574374
./ExpMode,40145,40145,11, 0.477519,0.531178
./ExpMode,40145,40145,12, 0.442052,0.453089
./ExpMode,40145,40145,13, 0.406698,0.463121
./ExpMode,40145,40145,14, 0.388185,0.457151
./ExpMode,40145,40145,15, 0.362313,0.473414
./ExpMode,40145,40145,16, 0.344858,0.466527
./ExpMode,35145,35145,0, 3.1014,3.1014
./ExpMode,35145,35145,1, 3.14735,3.14192
./ExpMode,35145,35145,2, 1.72265,1.72852
./ExpMode,35145,35145,3, 1.21867,1.38138
./ExpMode,35145,35145,4, 0.865514,1.12945
./ExpMode,35145,35145,5, 0.74679,0.886849
./ExpMode,35145,35145,6, 0.605255,0.784734
./ExpMode,35145,35145,7, 0.552686,0.6548
./ExpMode,35145,35145,8, 0.491226,0.609028
./ExpMode,35145,35145,9, 0.42278,0.509969
./ExpMode,35145,35145,10, 0.390943,0.46077
./ExpMode,35145,35145,11, 0.365358,0.426115
./ExpMode,35145,35145,12, 0.337873,0.415993
./ExpMode,35145,35145,13, 0.31978,0.38333
./ExpMode,35145,35145,14, 0.292636,0.39832
./ExpMode,35145,35145,15, 0.302373,0.353564
./ExpMode,35145,35145,16, 0.269102,0.37562
./ExpMode,60145,60145,0, 8.75976,8.75976
./ExpMode,60145,60145,1, 9.03434,9.0592
./ExpMode,60145,60145,2, 4.75862,4.69957
./ExpMode,60145,60145,3, 3.41322,3.85547
./ExpMode,60145,60145,4, 2.38876,2.65385
./ExpMode,60145,60145,5, 2.11217,2.47541
./ExpMode,60145,60145,6, 1.73997,1.83564
./ExpMode,60145,60145,7, 1.52938,1.75439
./ExpMode,60145,60145,8, 1.32842,1.42312
./ExpMode,60145,60145,9, 1.23258,1.40757
./ExpMode,60145,60145,10, 1.09112,1.18478
./ExpMode,60145,60145,11, 1.02391,1.15324
./ExpMode,60145,60145,12, 0.947167,1.07362
./ExpMode,60145,60145,13, 0.909688,1.00486
./ExpMode,60145,60145,14, 0.821798,0.89921
./ExpMode,60145,60145,15, 0.811496,0.936646
./ExpMode,60145,60145,16, 0.78634,0.862362
./ExpMode,50145,50145,0, 6.0095,6.0095
./ExpMode,50145,50145,1, 6.22753,6.16091
./ExpMode,50145,50145,2, 3.21128,3.15181
./ExpMode,50145,50145,3, 2.36069,2.71986
./ExpMode,50145,50145,4, 1.77843,1.82622
./ExpMode,50145,50145,5, 1.47644,1.67575
./ExpMode,50145,50145,6, 1.18497,1.4334
./ExpMode,50145,50145,7, 1.09406,1.26071
./ExpMode,50145,50145,8, 0.937216,1.13612
./ExpMode,50145,50145,9, 0.876551,1.01659
./ExpMode,50145,50145,10, 0.773819,0.80185
./ExpMode,50145,50145,11, 0.718175,0.843274
./ExpMode,50145,50145,12, 0.66737,0.75117
./ExpMode,50145,50145,13, 0.6257,0.704279
./ExpMode,50145,50145,14, 0.579582,0.588857
./ExpMode,50145,50145,15, 0.567311,0.658949
./ExpMode,50145,50145,16, 0.539229,0.696029
./ExpMode,40145,40145,0, 3.87323,3.87323
./ExpMode,40145,40145,1, 4.02537,4.00066
./ExpMode,40145,40145,2, 2.05037,2.06767
./ExpMode,40145,40145,3, 1.66424,1.90962
./ExpMode,40145,40145,4, 1.08051,1.38197
./ExpMode,40145,40145,5, 0.948136,1.2283
./ExpMode,40145,40145,6, 0.791525,0.937524
./ExpMode,40145,40145,7, 0.691476,0.811492
./ExpMode,40145,40145,8, 0.620686,0.666364
./ExpMode,40145,40145,9, 0.559148,0.639472
./ExpMode,40145,40145,10, 0.496314,0.610139
./ExpMode,40145,40145,11, 0.476226,0.5424
./ExpMode,40145,40145,12, 0.421772,0.485073
./ExpMode,40145,40145,13, 0.413331,0.486828
./ExpMode,40145,40145,14, 0.386446,0.460919
./ExpMode,40145,40145,15, 0.386944,0.408466
./ExpMode,40145,40145,16, 0.338258,0.36841
./ExpMode,35145,35145,0, 2.94694,2.94694
./ExpMode,35145,35145,1, 3.0499,3.05791
./ExpMode,35145,35145,2, 1.59404,1.62485
./ExpMode,35145,35145,3, 1.21215,1.44851
./ExpMode,35145,35145,4, 0.955954,1.09161
./ExpMode,35145,35145,5, 0.742354,0.878586
./ExpMode,35145,35145,6, 0.610335,0.643396
./ExpMode,35145,35145,7, 0.544303,0.656457
./ExpMode,35145,35145,8, 0.482771,0.519704
./ExpMode,35145,35145,9, 0.434318,0.468819
./ExpMode,35145,35145,10, 0.414397,0.451512
./ExpMode,35145,35145,11, 0.372183,0.456705
./ExpMode,35145,35145,12, 0.330186,0.322634
./ExpMode,35145,35145,13, 0.31317,0.376654
./ExpMode,35145,35145,14, 0.300435,0.366385
./ExpMode,35145,35145,15, 0.283032,0.364263
./ExpMode,35145,35145,16, 0.265601,0.314484
./ExpMode,60145,60145,0, 8.88962,8.88962
./ExpMode,60145,60145,1, 9.03902,8.95123
./ExpMode,60145,60145,2, 4.55933,4.54015
./ExpMode,60145,60145,3, 3.44272,3.63367
./ExpMode,60145,60145,4, 2.36016,2.60258
./ExpMode,60145,60145,5, 2.03321,2.23569
./ExpMode,60145,60145,6, 1.68872,1.98493
./ExpMode,60145,60145,7, 1.52473,1.60996
./ExpMode,60145,60145,8, 1.3478,1.47145
./ExpMode,60145,60145,9, 1.22864,1.27157
./ExpMode,60145,60145,10, 1.08348,1.24638
./ExpMode,60145,60145,11, 1.01127,1.16327
./ExpMode,60145,60145,12, 0.942685,1.08643
./ExpMode,60145,60145,13, 0.900735,0.980149
./ExpMode,60145,60145,14, 0.82926,0.984169
./ExpMode,60145,60145,15, 0.80149,0.89232
./ExpMode,60145,60145,16, 0.74844,0.764891
./ExpMode,50145,50145,0, 6.11207,6.11207
./ExpMode,50145,50145,1, 6.39428,6.37886
./ExpMode,50145,50145,2, 3.2371,3.71401
./ExpMode,50145,50145,3, 2.48342,2.7273
./ExpMode,50145,50145,4, 1.84057,2.10561
./ExpMode,50145,50145,5, 1.55238,1.64368
./ExpMode,50145,50145,6, 1.33557,1.39112
./ExpMode,50145,50145,7, 1.16166,1.30166
./ExpMode,40145,40145,0, 3.97579,3.97579
./ExpMode,40145,40145,1, 4.07176,4.05067
./ExpMode,40145,40145,2, 2.05149,2.10953
./ExpMode,40145,40145,3, 1.52652,1.75678
./ExpMode,40145,40145,4, 1.12335,1.38982
./ExpMode,40145,40145,5, 0.93345,1.10046
./ExpMode,40145,40145,6, 0.792062,0.83466
./ExpMode,40145,40145,7, 0.683177,0.751733
./ExpMode,40145,40145,8, 0.609144,0.74805
./ExpMode,40145,40145,9, 0.55995,0.648199
./ExpMode,40145,40145,10, 0.506143,0.542719
./ExpMode,40145,40145,11, 0.455423,0.533155
./ExpMode,40145,40145,12, 0.423892,0.464798
./ExpMode,40145,40145,13, 0.407576,0.517884
./ExpMode,40145,40145,14, 0.377958,0.453404
./ExpMode,40145,40145,15, 0.360929,0.428702
./ExpMode,40145,40145,16, 0.347318,0.441494
./ExpMode,35145,35145,0, 3.04149,3.04149
./ExpMode,35145,35145,1, 3.17889,3.08804
./ExpMode,35145,35145,2, 1.61417,1.62978
./ExpMode,35145,35145,3, 1.12195,1.38364
./ExpMode,35145,35145,4, 0.885128,1.12877
./ExpMode,35145,35145,5, 0.736431,0.884795
./ExpMode,35145,35145,6, 0.609705,0.751693
./ExpMode,35145,35145,7, 0.55247,0.677411
./ExpMode,35145,35145,8, 0.481511,0.525574
./ExpMode,35145,35145,9, 0.431227,0.52149
./ExpMode,35145,35145,10, 0.397942,0.454088
./ExpMode,35145,35145,11, 0.363079,0.435503
./ExpMode,35145,35145,12, 0.338407,0.365904
./ExpMode,35145,35145,13, 0.328462,0.347915
./ExpMode,35145,35145,14, 0.317476,0.359082
./ExpMode,35145,35145,15, 0.292592,0.372786
./ExpMode,35145,35145,16, 0.287006,0.334956
./ExpMode,60145,60145,0, 8.96825,8.96825
./ExpMode,60145,60145,1, 9.22238,9.17563
./ExpMode,60145,60145,2, 4.92939,5.36892
./ExpMode,60145,60145,3, 3.42238,3.66955
./ExpMode,60145,60145,4, 2.42759,2.67777
./ExpMode,60145,60145,5, 2.05623,2.28586
./ExpMode,60145,60145,6, 1.68622,1.92544
./ExpMode,60145,60145,7, 1.55019,1.7006
./ExpMode,60145,60145,8, 1.32248,1.46061
./ExpMode,60145,60145,9, 1.2232,1.40007
./ExpMode,60145,60145,10, 1.09936,1.25328
./ExpMode,60145,60145,11, 1.04099,1.17589
./ExpMode,60145,60145,12, 0.94468,1.04511
./ExpMode,60145,60145,13, 0.889797,1.01891
./ExpMode,60145,60145,14, 0.854525,0.860992
./ExpMode,60145,60145,15, 0.805187,0.891346
./ExpMode,60145,60145,16, 0.771954,0.793976
./ExpMode,50145,50145,0, 6.29588,6.29588
./ExpMode,50145,50145,1, 6.59334,6.63275
./ExpMode,50145,50145,2, 3.25106,3.32587
./ExpMode,50145,50145,3, 2.34281,2.47126
./ExpMode,50145,50145,4, 1.67223,1.95138
./ExpMode,50145,50145,5, 1.48067,1.60156
./ExpMode,50145,50145,6, 1.1619,1.29602
./ExpMode,50145,50145,7, 1.05149,1.27303
./ExpMode,50145,50145,8, 0.92369,1.04049
./ExpMode,50145,50145,9, 0.862184,1.00158
./ExpMode,50145,50145,10, 0.773567,0.809682
./ExpMode,50145,50145,11, 0.720826,0.837201
./ExpMode,50145,50145,12, 0.675215,0.686207
./ExpMode,50145,50145,13, 0.617014,0.677142
./ExpMode,50145,50145,14, 0.57116,0.625697
./ExpMode,50145,50145,15, 0.551922,0.612674
./ExpMode,50145,50145,16, 0.554221,0.696168
./ExpMode,40145,40145,0, 4.00056,4.00056
