name,threads,time
gradient1,0,15.0374
gradient1,1,12.8913
gradient1,2,6.49662
gradient1,3,4.29117
gradient1,4,3.27754
gradient1,5,2.58754
gradient1,6,2.15936
gradient1,7,1.81239
gradient1,8,1.6279
gradient1,9,1.4354
gradient1,10,1.29683
gradient1,11,1.17576
gradient1,12,1.08703
gradient1,13,0.994495
gradient1,14,0.942507
gradient1,15,0.860118
gradient1,16,0.807074
gradient2,0,12.9313
gradient2,1,12.8923
gradient2,2,6.46602
gradient2,3,4.31315
gradient2,4,3.23178
gradient2,5,2.56885
gradient2,6,2.15171
gradient2,7,1.8426
gradient2,8,1.5934
gradient2,9,1.47395
gradient2,10,1.29747
gradient2,11,1.18844
gradient2,12,1.07982
gradient2,13,1.01349
gradient2,14,0.924042
gradient2,15,0.859413
gradient2,16,0.822718
minmax,0,25.752
minmax,1,26.6771
minmax,2,15.1449
minmax,3,9.95257
minmax,4,8.95884
minmax,5,6.36188
minmax,6,4.95276
minmax,7,3.77516
minmax,8,3.84452
minmax,9,3.56396
minmax,10,2.99019
minmax,11,2.80421
minmax,12,2.46
minmax,13,2.29007
minmax,14,2.18626
minmax,15,1.95865
minmax,16,1.98979
gradient1,0,15.1112
gradient1,1,12.9179
gradient1,2,6.497
gradient1,3,4.31327
gradient1,4,3.23114
gradient1,5,2.56683
gradient1,6,2.13791
gradient1,7,1.8425
gradient1,8,1.58283
gradient1,9,1.45618
gradient1,10,1.29162
gradient1,11,1.20961
gradient1,12,1.0794
gradient1,13,1.01398
gradient1,14,0.925343
gradient1,15,0.859706
gradient1,16,0.814839
gradient2,0,12.9636
gradient2,1,12.8863
gradient2,2,6.45475
gradient2,3,4.32301
gradient2,4,3.21375
gradient2,5,2.54979
gradient2,6,2.10948
gradient2,7,1.83319
gradient2,8,1.62938
gradient2,9,1.43555
gradient2,10,1.31975
gradient2,11,1.17353
gradient2,12,1.1157
gradient2,13,0.997664
gradient2,14,0.937931
gradient2,15,0.862904
gradient2,16,0.809825
minmax,0,25.7082
minmax,1,26.7683
minmax,2,15.1303
minmax,3,12.0152
minmax,4,8.68579
minmax,5,5.92712
minmax,6,4.70497
minmax,7,4.15823
minmax,8,3.88318
minmax,9,3.46904
minmax,10,2.99993
minmax,11,2.59963
minmax,12,2.58228
minmax,13,2.20114
minmax,14,2.1501
minmax,15,1.93525
minmax,16,1.85856
max-seg-strip,0,28.5399
max-seg-strip,1,36.491
max-seg-strip,2,21.6011
max-seg-strip,3,15.7297
max-seg-strip,4,12.2912
max-seg-strip,5,7.91574
max-seg-strip,6,6.78819
max-seg-strip,7,6.09781
max-seg-strip,8,5.17766
max-seg-strip,9,4.65981
max-seg-strip,10,4.37768
max-seg-strip,11,4.02243
max-seg-strip,12,3.73471
max-seg-strip,13,3.20528
max-seg-strip,14,2.85414
max-seg-strip,15,2.80819
max-seg-strip,16,2.67122
max-bottom-box,0,26.8961
max-bottom-box,1,29.7034
max-bottom-box,2,16.6076
max-bottom-box,3,12.3204
max-bottom-box,4,8.1567
max-bottom-box,5,6.47922
max-bottom-box,6,5.41809
max-bottom-box,7,4.7207
max-bottom-box,8,4.01013
max-bottom-box,9,3.50622
max-bottom-box,10,3.2697
max-bottom-box,11,3.03371
max-bottom-box,12,2.74724
max-bottom-box,13,2.5109
max-bottom-box,14,2.27379
max-bottom-box,15,2.17725
max-bottom-box,16,2.0416
gradient1,0,15.0421
gradient1,1,12.8901
gradient1,2,6.48379
gradient1,3,4.28172
gradient1,4,3.2327
gradient1,5,2.56927
gradient1,6,2.12232
gradient1,7,1.81841
gradient1,8,1.60909
gradient1,9,1.43556
gradient1,10,1.29898
gradient1,11,1.17385
gradient1,12,1.10526
gradient1,13,0.995587
gradient1,14,0.942844
gradient1,15,0.861024
