ExpName,N,M,L,NUM_THREADS,TBB_TIME,OMP_TIME
./OMPExpMaxTopBox,1305,655,2605,0, 9.15775,0
./OMPExpMaxTopBox,1305,655,2605,1, 7.78974,6.7751
./OMPExpMaxTopBox,1305,655,2605,2, 4.39256,4.52542
./OMPExpMaxTopBox,1305,655,2605,3, 3.79998,3.4623
./OMPExpMaxTopBox,1305,655,2605,4, 2.35043,2.71393
./OMPExpMaxTopBox,1305,655,2605,5, 2.1809,2.45908
./OMPExpMaxTopBox,1305,655,2605,6, 1.69795,2.02275
./OMPExpMaxTopBox,1305,655,2605,7, 1.50218,1.73073
./OMPExpMaxTopBox,1305,655,2605,8, 1.29641,1.66614
./OMPExpMaxTopBox,1305,655,2605,9, 1.177,1.36569
./OMPExpMaxTopBox,1305,655,2605,10, 1.07447,1.27179
./OMPExpMaxTopBox,1305,655,2605,11, 0.96883,1.14924
./OMPExpMaxTopBox,1305,655,2605,12, 0.876643,0.962741
./OMPExpMaxTopBox,1305,655,2605,13, 0.817407,0.998737
./OMPExpMaxTopBox,1305,655,2605,14, 0.799878,1.0319
./OMPExpMaxTopBox,1305,655,2605,15, 0.773629,0.997729
./OMPExpMaxTopBox,1305,655,2605,16, 0.726836,0.833918
./OMPExpMaxTopBox,655,1305,2605,0, 9.17769,0
./OMPExpMaxTopBox,655,1305,2605,1, 8.06641,7.16567
./OMPExpMaxTopBox,655,1305,2605,2, 4.22723,4.21866
./OMPExpMaxTopBox,655,1305,2605,3, 3.6574,3.42078
./OMPExpMaxTopBox,655,1305,2605,4, 2.47835,2.70096
./OMPExpMaxTopBox,655,1305,2605,5, 1.98918,2.36702
./OMPExpMaxTopBox,655,1305,2605,6, 1.71258,1.96378
./OMPExpMaxTopBox,655,1305,2605,7, 1.57136,1.88783
./OMPExpMaxTopBox,655,1305,2605,8, 1.2829,1.6874
./OMPExpMaxTopBox,655,1305,2605,9, 1.18373,1.52413
./OMPExpMaxTopBox,655,1305,2605,10, 1.02404,1.23918
./OMPExpMaxTopBox,655,1305,2605,11, 0.997598,1.27342
./OMPExpMaxTopBox,655,1305,2605,12, 0.932267,1.14561
./OMPExpMaxTopBox,655,1305,2605,13, 0.854453,1.03807
./OMPExpMaxTopBox,655,1305,2605,14, 0.808039,0.961224
