name,threads,time
max-left-rect,0,57.9841
max-left-rect,1,69.7942
max-left-rect,2,36.9443
max-left-rect,3,26.193
max-left-rect,4,20.5932
max-left-rect,5,15.6208
max-left-rect,6,13.383
max-left-rect,7,10.8343
max-left-rect,8,9.43908
max-left-rect,9,8.57132
max-left-rect,10,7.55291
max-left-rect,11,7.3007
max-left-rect,12,6.83142
max-left-rect,13,6.01124
max-left-rect,14,5.75888
max-left-rect,15,5.22538
max-left-rect,16,5.14294
max-left-rect,17,5.0092
max-left-rect,18,4.69531
max-left-rect,19,4.50824
max-left-rect,20,4.45553
max-left-rect,21,4.15326
max-left-rect,22,4.25834
max-left-rect,23,4.00792
max-left-rect,24,3.87733
max-left-rect,25,3.5577
max-left-rect,26,3.64031
max-left-rect,27,3.81078
max-left-rect,28,3.60493
max-left-rect,29,3.72039
max-left-rect,30,3.92073
max-left-rect,31,3.72017
max-left-rect,32,4.11147
max-left-rect,33,3.6062
max-left-rect,34,3.72951
max-left-rect,35,3.51325
max-left-rect,36,3.48424
max-left-rect,37,4.01087
max-left-rect,38,2.84721
max-left-rect,39,4.01892
max-left-rect,40,4.57449
max-left-rect,41,4.79413
max-left-rect,42,3.47959
max-left-rect,43,4.90547
max-left-rect,44,3.48479
max-left-rect,45,4.99817
max-left-rect,46,4.08331
max-left-rect,47,5.44036
max-left-rect,48,6.46042
max-left-rect,49,5.47147
max-left-rect,50,6.11541
max-left-rect,51,6.80501
max-left-rect,52,5.58583
max-left-rect,53,6.58706
max-left-rect,54,5.95197
max-left-rect,55,4.26198
max-left-rect,56,7.78486
max-left-rect,57,8.2887
max-left-rect,58,8.35323
max-left-rect,59,5.26833
max-left-rect,60,7.02705
max-left-rect,61,7.43949
max-left-rect,62,6.32397
max-left-rect,63,5.69907
max-left-rect,64,8.98692
max-left-rect,0,56.4599
max-left-rect,1,69.7731
max-left-rect,2,39.233
max-left-rect,3,26.8504
max-left-rect,4,20.164
max-left-rect,5,15.2987
max-left-rect,6,13.0735
max-left-rect,7,11.034
max-left-rect,8,9.83539
max-left-rect,9,8.98855
max-left-rect,10,7.55946
max-left-rect,11,6.9071
max-left-rect,12,6.47996
max-left-rect,13,6.14385
max-left-rect,14,5.80042
max-left-rect,15,5.41557
max-left-rect,16,5.09901
max-left-rect,17,4.79364
max-left-rect,18,4.71576
max-left-rect,19,4.67503
max-left-rect,20,4.42643
max-left-rect,21,4.24275
max-left-rect,22,4.22113
max-left-rect,23,4.17308
max-left-rect,24,3.79197
max-left-rect,25,3.92577
max-left-rect,26,3.85266
max-left-rect,27,3.82301
max-left-rect,28,3.83116
max-left-rect,29,3.71934
max-left-rect,30,3.2771
max-left-rect,31,3.72678
max-left-rect,32,3.42543
max-left-rect,33,3.55662
max-left-rect,34,3.54544
max-left-rect,35,3.74779
max-left-rect,36,3.41759
max-left-rect,37,3.74387
max-left-rect,38,4.53766
max-left-rect,39,4.32281
max-left-rect,40,3.95772
max-left-rect,41,3.17537
max-left-rect,42,3.48675
max-left-rect,43,4.27635
max-left-rect,44,3.99234
max-left-rect,45,4.99308
max-left-rect,46,4.53672
max-left-rect,47,5.27012
max-left-rect,48,5.91142
max-left-rect,49,5.32919
max-left-rect,50,4.97493
max-left-rect,51,5.58448
max-left-rect,52,7.41603
max-left-rect,53,7.01873
max-left-rect,54,6.89181
max-left-rect,55,4.73023
max-left-rect,56,6.33974
max-left-rect,57,5.21257
max-left-rect,58,6.79444
max-left-rect,59,7.86193
max-left-rect,60,7.24703
max-left-rect,61,8.15283
max-left-rect,62,10.2143
max-left-rect,63,9.90938
max-left-rect,64,2.46713
max-left-box,0,62.3972
max-left-box,1,62.2347
max-left-box,2,33.997
max-left-box,3,25.4364
max-left-box,4,20.6926
max-left-box,5,13.3228
max-left-box,6,10.8948
max-left-box,7,9.66087
max-left-box,8,8.66539
max-left-box,9,7.27822
max-left-box,10,6.78114
max-left-box,11,6.37447
max-left-box,12,5.8006
max-left-box,13,5.81463
max-left-box,14,4.872
max-left-box,15,4.51731
max-left-box,16,4.37442
max-left-box,17,4.13834
